Subject,Run,Task,Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Spectral Entropy,Mean Coherence
17,5,sleep,1.4059629750106575e-09,8.198627463095746e-10,7.468659758177462e-10,5.766769115886851e-09,1.8381397691261766e-09,4.048867099851737,0.0600851904543331
17,2,sleep,1.6093991315261911e-09,5.656140624888661e-10,5.189941107453802e-10,2.916274846893876e-09,1.3067343475150961e-09,4.052879920433371,0.0894691440076957
17,1,rest,6.536923499040395e-10,3.1551657705179474e-10,2.7451713602158083e-10,9.659469828148139e-10,8.478530802755328e-10,4.027445449926107,0.062087780500167
17,6,sleep,2.8540652082921754e-09,8.435345076230023e-10,8.646080903648193e-10,7.955272808435141e-09,1.684482605024448e-09,4.060437121113212,0.0485270782149895
17,3,sleep,8.683592982052815e-10,5.061408023086858e-10,5.217660539790775e-10,3.4760991276410878e-09,1.4200237509725861e-09,4.034874633043337,0.0697926513271966
17,4,sleep,2.3209706989413882e-09,7.244690991338801e-10,7.057213415115956e-10,4.752435529742326e-09,1.6713534607990506e-09,4.066308695571962,0.081276226725079
17,2,rest,7.819552601946525e-10,3.864388057969507e-10,3.194266256414732e-10,1.2712950938362716e-09,9.370883380781236e-10,4.031988562694482,0.0558470478475848
17,7,sleep,4.363522089870246e-09,1.0288688752819388e-09,1.0646768024393003e-09,9.620001009494496e-09,3.3219718833304715e-09,4.084984163805582,0.0447706485728767
18,2,sleep,1.1567524638472778e-09,7.436804520818826e-10,9.578482776339354e-10,1.1612015524732164e-08,3.936339972981413e-09,3.9880250187792714,0.0332581207154977
18,5,sleep,1.630757218937197e-09,9.534041942088584e-10,1.2393411730111515e-09,1.5986514596241722e-08,4.863371897015418e-09,3.987095811919862,0.0341883699669287
18,4,sleep,2.052603007164075e-09,9.273238150100855e-10,1.168526014984426e-09,1.4756424441494582e-08,4.603483612395234e-09,3.992539775052239,0.0352283827170672
18,2,rest,8.54446591479115e-10,5.14862533062676e-10,6.152092845940885e-10,6.547474409797172e-09,2.28084234108652e-09,,0.0177252605792764
18,1,rest,8.626784077935844e-10,4.5387504097387326e-10,5.30274472331522e-10,5.375658334467447e-09,2.095740271531509e-09,,0.0106287935366566
18,1,sleep,9.626280257208052e-10,6.629995133015035e-10,8.52598539008658e-10,1.028036205426118e-08,3.5734087378567595e-09,3.986753901266528,0.031989658270086
18,3,sleep,1.476329638762516e-09,8.090456075364918e-10,1.029055004229374e-09,1.2726900740817676e-08,4.108726434802064e-09,3.9904425616620935,0.0320259571505974
19,3,sleep,1.3665280718699846e-09,8.683628116341111e-10,1.143702332428974e-09,1.4404680372964237e-08,4.710358477065241e-09,4.028596528542865,0.0395802170414307
19,1,rest,1.0737833571254095e-09,5.909814636595297e-10,7.823716976713145e-10,9.237342919147073e-09,3.316012409735763e-09,,0.030808023770445
19,2,sleep,1.246399348252624e-09,7.805430538651803e-10,1.0261202055200254e-09,1.2915766116011993e-08,4.370351751514935e-09,4.023039120425714,0.039696154956385
19,4,sleep,1.5015615375911402e-09,8.79597767119063e-10,1.1953198199104912e-09,1.5538939801045806e-08,5.039468700544341e-09,4.027102485441415,0.0373761537063837
19,2,rest,1.1654462758393555e-09,6.537852029573983e-10,8.609891917650994e-10,1.0380080999042218e-08,3.681415863606886e-09,4.018851218125033,0.0439507942584618
19,1,sleep,1.0810672802492336e-09,7.060311830551525e-10,9.198572630562361e-10,1.1278776500219414e-08,3.921307830761443e-09,4.019241250246356,0.042098815935395
19,5,sleep,1.695901876544141e-09,9.58137825967709e-10,1.2573649166148087e-09,1.6486472218160632e-08,5.307660559642678e-09,4.023454822414729,0.0622814495870199
